,date,daily_ret,realized_vol
0,2019/10/31,-0.002708805268086904,6.802685364142479e-05
1,2019/11/01,0.00918842605440639,3.21701630564832e-05
2,2019/11/04,0.00868876820101209,7.062421186530718e-05
3,2019/11/05,0.0047556232295682226,1.8287604188103353e-05
4,2019/11/06,0.0010533708839176768,3.9676057998904884e-05
5,2019/11/07,0.001406222766445355,3.720092644768369e-05
6,2019/11/08,-0.009302392662313448,7.764664665910499e-05
7,2019/11/11,-0.007616722679118582,4.642611321080589e-05
8,2019/11/12,0.00653308583037092,5.31037390101037e-05
9,2019/11/13,-0.003718463779937361,6.281143720713572e-05
10,2019/11/14,0.007067167223092353,4.9625758830483957e-05
11,2019/11/15,0.012925944161397177,4.7854823431001444e-05
12,2019/11/18,-0.000347765609486546,3.381371280792294e-05
13,2019/11/19,-0.0001746877460988842,7.086518755118227e-05
14,2019/11/20,-0.006348108075356637,8.373313706764785e-05
15,2019/11/21,-0.014447767587000672,6.83947595303883e-05
16,2019/11/22,0.0037570488777123423,3.632718091612021e-05
17,2019/11/25,0.0031875359023509275,8.245438755582986e-05
18,2019/11/26,-0.0005295207960636464,4.9075112594282144e-05
19,2019/11/27,-0.004230572147976499,5.944160415483764e-05
20,2019/11/28,0.002130304373903043,7.205603944499096e-05
21,2019/11/29,-0.017146338982675414,6.611846736425535e-05
22,2019/12/02,-0.0021571103097471783,4.3550221559434266e-05
23,2019/12/03,0.003989849326194931,0.00016324502950954716
24,2019/12/04,0.0009101666233125798,9.146081094559744e-05
25,2019/12/05,-0.006001654824871665,6.713250722201341e-05
26,2019/12/06,0.004709300498325759,5.644571196759367e-05
27,2019/12/09,-0.0012586534071962886,6.812256421718978e-05
28,2019/12/10,0.00844493384677435,4.095187523332724e-05
29,2019/12/11,0.005178120667421495,2.7439313888014484e-05
30,2019/12/12,0.007926065272420723,7.671839597506844e-05
31,2019/12/13,0.0031298930089275656,9.042188503702683e-05
32,2019/12/16,-0.00034806822488552696,2.9666801682280602e-05
33,2019/12/17,0.009818354646400986,6.768031556015081e-05
34,2019/12/18,-0.001200789234257585,3.983487815636284e-05
35,2019/12/19,-0.002055499182095888,5.192095581295616e-05
36,2019/12/20,-0.001538593345662375,4.570146845946828e-05
37,2019/12/23,-0.004442173715123665,4.362589980731537e-05
38,2019/12/24,-0.009105809846374883,3.300383645813445e-05
39,2019/12/26,0.004814314663188594,3.858326765787715e-05
40,2019/12/27,0.012380383687584874,9.181147278404614e-05
41,2019/12/30,-0.0020304575503820627,3.606924604987428e-05
42,2020/01/02,-0.015697302354470498,5.661465523862481e-05
43,2020/01/03,-0.007859257949229865,0.0002185481294689578
44,2020/01/06,0.0010386014435427066,0.00014031184119522953
45,2020/01/07,0.006863444924982429,7.66823625078368e-05
46,2020/01/08,0.003106664562831325,0.00019310686269517053
47,2020/01/09,0.0027155481724826097,0.0002244887556382889
48,2020/01/10,0.008773466096221158,5.958287428501366e-05
49,2020/01/13,0.01120506748152557,5.2861888879746935e-05
50,2020/01/14,-0.0021500049628265083,8.625140907386236e-05
51,2020/01/15,-0.000998834775900756,7.036330180547818e-05
52,2020/01/16,0.00961227155764673,3.668290465040733e-05
53,2020/01/17,-0.005743841179252015,0.00010419989479702044
54,2020/01/20,0.002614807830739047,7.08929691792619e-05
55,2020/01/21,-0.012831233781988027,4.197730918152904e-05
56,2020/01/22,0.015109500783453276,4.744499069483284e-05
57,2020/01/23,-0.004283367339758001,0.00013746195249224777
58,2020/01/28,-0.009003713249771539,0.0006496106365388475
59,2020/01/29,-0.0010193680801147916,8.000364673015553e-05
60,2020/01/30,-0.01840595523592308,9.566410690247102e-05
61,2020/01/31,-0.019792312754222798,0.00018994678057043964
62,2020/02/03,0.015726094921588173,0.0004575864371034822
63,2020/02/04,0.02045486466503942,0.00011732279135231086
64,2020/02/05,-0.004607909851328167,0.0001940485653185285
65,2020/02/06,0.02146292985257514,0.00016219488410006247
66,2020/02/07,-0.007188863192447615,0.00010479701258123765
67,2020/02/10,0.007958724593427155,0.00025826583978471343
68,2020/02/11,0.005518870099382448,0.0001021478052138385
69,2020/02/12,0.0066478556279163,7.64462529384387e-05
70,2020/02/13,-0.008286424611061076,0.0001230906214129728
71,2020/02/14,0.008607899533518554,6.450440003124778e-05
72,2020/02/17,0.0013212223226674463,5.728946735644384e-05
73,2020/02/18,-0.007860229447943373,0.00015889256598051454
74,2020/02/19,-0.003841982509242933,0.0001175898134258986
75,2020/02/20,-0.009870427270115924,0.0001332332432212462
76,2020/02/21,-0.00017127686947753177,0.0004383166576567593
77,2020/02/24,-0.016578862971769793,0.0005482645665584282
78,2020/02/25,0.013081324950246165,0.00012936145972494906
79,2020/02/26,0.005551093133572135,0.0006531349636655964
80,2020/02/27,-0.005027843236630045,0.0001681336752249535
81,2020/02/28,-0.017394961183320488,0.0005545576145673895
82,2020/03/02,0.00406880531739388,0.00023339823198581137
83,2020/03/03,-0.018195552942018443,0.0007044359746191032
84,2020/03/04,0.02843275183821822,0.00021458361267040298
85,2020/03/05,0.003205130948948331,0.0001975839901404362
86,2020/03/06,-0.01034022818514478,0.0003529541299579849
87,2020/03/09,-0.012311927469558033,0.0011571661760570236
88,2020/03/10,0.011003715656861413,0.00026617846161637143
89,2020/03/11,-0.028776203861693384,0.0002215459572812809
90,2020/03/12,-0.03540015676185423,0.0010243093121343899
91,2020/03/13,0.06261423228817406,0.00889381430177785
92,2020/03/16,-0.062480753020932686,0.001371828934849808
93,2020/03/17,0.010302442748159644,0.002492981153953566
94,2020/03/18,-0.07069274912736849,0.0009320500083958227
95,2020/03/19,-0.10743431321953893,0.005226450463372757
96,2020/03/20,0.0577726267454448,0.0024726694452451912
97,2020/03/23,-0.0015033828940315109,0.0071511564403621344
98,2020/03/24,0.06356929402026229,0.0022007500652287803
99,2020/03/25,0.029462032730316282,0.002138421223283015
100,2020/03/26,-0.011358794035606405,0.0010280442277440357
101,2020/03/27,-0.0178348676360342,0.0026804977435032854
102,2020/03/30,0.0177422242466041,0.0015836241928661075
103,2020/03/31,0.00851068966790861,0.0006856307413156339
104,2020/04/01,-0.03748532142121568,0.0005303798307688316
105,2020/04/02,0.026242485589647216,0.0007163551569080828
106,2020/04/03,0.002593474546381985,0.0004286576587393142
107,2020/04/06,0.02823022943132474,0.0003592921641863546
108,2020/04/07,0.001428134487350466,0.0007205616475117531
109,2020/04/08,-0.0076312631868358655,0.0003560430190051433
110,2020/04/09,-0.0008158270899158598,0.0005041224147507567
111,2020/04/10,0.011191489278400569,0.00017533582241340361
112,2020/04/13,-0.014766470116301007,0.00016070863527495354
113,2020/04/14,0.008749674296100126,0.0002264184866580745
114,2020/04/16,0.011391498286095338,0.0002482566894836277
115,2020/04/17,0.011846140504162436,0.00048181259634217364
116,2020/04/20,-0.006942406143901538,0.00016599823795439031
117,2020/04/21,-0.005620247632153596,0.0004939371628240334
118,2020/04/22,0.020955834356791343,0.00031405546193057917
119,2020/04/23,0.009289522282664608,0.00019992186177940352
120,2020/04/24,-0.009594317050392494,0.00025447957145782236
121,2020/04/27,0.018036362486098575,0.00011969659030627562
122,2020/04/28,0.003913899321136315,0.00013524230488862183
123,2020/04/29,0.007974368816008997,0.0001277758250140283
124,2020/05/04,-0.00917254686329191,0.0007472736799547665
125,2020/05/06,0.008262883919556463,0.0002999950164452969
126,2020/05/07,0.001183899112235324,0.0001426337596927798
127,2020/05/08,0.0013659871379554697,0.00015939934469029758
128,2020/05/11,-0.01056347850956926,8.577766540471626e-05
129,2020/05/12,-0.0070950238506036845,0.00013786228075943248
130,2020/05/13,0.024751288280072073,0.00031497490346186065
131,2020/05/14,-0.001979414739720676,0.00023094154134014808
132,2020/05/15,-0.0037390577852742034,0.00018836030109945778
133,2020/05/18,0.005484832555247117,9.770066352486021e-05
134,2020/05/19,0.0038248277648064467,0.0004406953231342505
135,2020/05/20,0.005546538079085667,7.719588077150153e-05
136,2020/05/21,-0.0011376565504610187,9.242406296484937e-05
137,2020/05/22,-0.018187540674470436,7.925339863482285e-05
138,2020/05/25,0.009167367487019676,0.00011055447652782413
139,2020/05/26,0.01397303701125789,7.11328504456988e-05
140,2020/05/27,0.0039388590735369,8.180749276965525e-05
141,2020/05/28,-0.005204472714105794,0.00023797803270647028
142,2020/05/29,0.0007493443587807578,0.0001566282991926329
143,2020/06/01,0.01606237801012924,0.00011055260262909998
144,2020/06/02,0.011487043987130999,7.410478264910814e-05
145,2020/06/03,0.02601226023500617,0.00029034441362061833
146,2020/06/04,-0.016105638631254054,0.0005415966782685237
147,2020/06/05,0.017822082581674555,0.00010523758180780381
148,2020/06/08,-0.017898713571903813,0.00039525218931772183
149,2020/06/09,-0.009580911611757866,0.0002704999475724062
150,2020/06/10,0.0008580009106368094,0.00010760228233995785
151,2020/06/11,-0.014076172983133734,0.00017310956275316052
152,2020/06/12,0.005402498283348342,0.0012272231004437186
153,2020/06/15,-0.04338474560252402,0.0003697864150668972
154,2020/06/16,0.019488166379650857,0.0014801321424465384
155,2020/06/17,0.0021310610089541127,0.000360549305424043
156,2020/06/18,0.004804707169980337,0.00022425031167449817
157,2020/06/19,-0.00530130239609198,0.00026307703154572563
158,2020/06/22,0.00017865118403918677,0.00019692820677093918
159,2020/06/23,-0.006197452328370661,0.00038750374444546077
160,2020/06/24,0.011075089030687747,0.00013034209479437724
161,2020/06/25,-0.01233590328081015,0.0004440071094827841
162,2020/06/26,0.0033786819728862023,0.00019199943258037497
163,2020/06/29,-0.00035945363435208754,0.00027115225445589617
164,2020/06/30,-0.0023121397583795024,0.0002543466711766628
